Title,Summary,Date,Source URL,Article URL,Document_Type,Product_Type,Countries,Regions,Drug_names,Language,Source_File,title_english,summary_english,Detail_URL,Source_URL,Article_URL
AGES radar for infectious diseases,Here you can find the latest report on outbreaks and infectious diseases,17/07/2025,https://www.ages.at/en/ages/press/news/mensch?actct=Human,https://www.ages.at/en/human/disease/ages-radar-for-infectious-diseases,Other Type,Other,Global,Global,None,English,AT.xlsx,None,None,None,None,None
AGES develops and tests mobile high-security laboratory,"A truck on the outside, a state-of-the-art laboratory on the inside: we develop and test the possible uses of a mobile laboratory in which samples from humans, animals and the environment are…",06/05/2025,https://www.ages.at/en/ages/press/news/mensch?actct=Human,https://www.ages.at/en/news/detail/ages-entwickelt-und-testet-mobiles-hochsicherheitslabor,Other Type,Other,Global,Global,None,English,AT.xlsx,None,None,None,None,None
Salmonella: Outbreak in small children,"In recent weeks, several small children in Austria have fallen ill with salmonella. These illnesses were most likely caused by an organic cashew butter with raspberries from dm drogerie markt.",03/06/2025,https://www.ages.at/en/ages/press/news/mensch?actct=Human,https://www.ages.at/en/news/detail/salmonellen-ausbruch-bei-kleinkindern,Other Type,Other,Global,Global,None,English,AT.xlsx,None,None,None,None,None
20 May: Clinical Research Day,"MedUni Vienna and AGES are taking the ""International Day of Clinical Research"" as an opportunity to emphasise the importance of clinical trials in improving the health and quality of life of patients.",20/05/2025,https://www.ages.at/en/ages/press/news/mensch?actct=Human,https://www.ages.at/en/news/detail/20-mai-tag-der-klinischen-forschung,Other Type,Other,Global,Global,None,English,AT.xlsx,None,None,None,None,None
AGES Podcast: Tracking down pathogenic germs in our food with food detectives,"Listeria in cheese, salmonella in kebabs or campylobacter on the chopping board - our food detectives are on the trail of pathogenic germs in food! Our expert and epidemiologist Sabine Maritschnik…",07/06/2025,https://www.ages.at/en/ages/press/news/mensch?actct=Human,https://www.ages.at/ages/presse/podcast/detail/folge-006-csi-ages-mit-lebensmittel-detektiven-krankmachenden-keimen-in-unserem-essen-auf-der-spur,Other Type,Other,Global,Global,None,English,AT.xlsx,None,None,None,None,None
Diphtheria outbreak in Western Europe: Study traces transmission routes for the first time,A diphtheria outbreak in 2022 led to the largest increase in reported infections in Western Europe in 70 years. Clinical and genomic data from the outbreak indicate a source of transmission along…,04/06/2025,https://www.ages.at/en/ages/press/news/mensch?actct=Human,https://www.ages.at/en/news/detail/diphtherieausbruch-in-westeuropa-studie-zeichnet-erstmals-uebertragungswege-nach,Other Type,Other,Global,Global,None,English,AT.xlsx,None,None,None,None,None
Salmonella outbreak: 35 people fall ill,"Since December 2024, 35 people in Austria have fallen ill with a specific strain of salmonella. The Ministry of Health has commissioned AGES to investigate this food-borne outbreak.",25/06/2025,https://www.ages.at/en/ages/press/news/mensch?actct=Human,https://www.ages.at/en/news/detail/salmonellen-ausbruch-35-menschen-erkrankt,Other Type,Other,Global,Global,None,English,AT.xlsx,None,None,None,None,None
Heat telephone: 0800 880 800,Excessive heat can lead to illness and death. Our heat hotline is available free of charge throughout Austria on 0800 880 800 and offers practical tips on how to cope better with the heat.,26/06/2025,https://www.ages.at/en/ages/press/news/mensch?actct=Human,https://www.ages.at/en/news/detail/hitzetelefon-0800-880-800,Other Type,Other,Global,Global,None,English,AT.xlsx,None,None,None,None,None
"One Health: Health for humans, animals, plants and the environment","The health of humans, animals, plants and the environment is interdependent. We have been pursuing this One Health approach for over 20 years.",17/07/2025,https://www.ages.at/en/ages/press/news/mensch?actct=Human,https://www.ages.at/en/ages/one-health/one-health-health-for-humans-animals-plants-and-the-environment,Other Type,Other,Global,Global,None,English,AT.xlsx,None,None,None,None,None
Enjoyment with vegetables: cooking according to the seasons,Our new cookery book is here! We are delighted that we were able to realise this project together with the motivated students and teachers of HBLA Pitzelstätten. Browse and cook now!,04/07/2025,https://www.ages.at/en/ages/press/news/mensch?actct=Human,https://www.ages.at/en/human/nutrition-food/nutrition-recommendations/recipes-to-cook/vegetables,Other Type,Other,Global,Global,None,English,AT.xlsx,None,None,None,None,None
